"FULL_NAME","JOB_TITLE","DEPARTMENT_NAME","HIRE_DATE","SALARY","YEARS_OF_SERVICE"
"John Singh","Sales Manager","Sales","2014-10-01T00:00:00Z",14000,11
"Eleni Zlotkey","Sales Manager","Sales","2018-01-29T00:00:00Z",10500,7
"Oliver Tuvault","Sales Representative","Sales","2017-11-23T00:00:00Z",7000,7
"Janette King","Sales Representative","Sales","2014-01-30T00:00:00Z",10000,11
"Patrick Sully","Sales Representative","Sales","2014-03-04T00:00:00Z",9500,11
"Allan McEwen","Sales Representative","Sales","2014-08-01T00:00:00Z",9000,11
"Lindsey Smith","Sales Representative","Sales","2015-03-10T00:00:00Z",8000,10
"Louise Doran","Sales Representative","Sales","2015-12-15T00:00:00Z",7500,9
"Sarath Sewall","Sales Representative","Sales","2016-11-03T00:00:00Z",7000,9
"Charles Johnson","Sales Representative","Sales","2018-01-04T00:00:00Z",6200,7
"Danielle Greene","Sales Representative","Sales","2017-03-19T00:00:00Z",9500,8
"Mattea Marvins","Sales Representative","Sales","2018-01-24T00:00:00Z",7200,7
"David Lee","Sales Representative","Sales","2018-02-23T00:00:00Z",6800,7
"Sundar Ande","Sales Representative","Sales","2018-03-24T00:00:00Z",6400,7
"Amit Banda","Sales Representative","Sales","2018-04-21T00:00:00Z",6200,7
"Lisa Ozer","Sales Representative","Sales","2015-03-11T00:00:00Z",11500,10
"Harrison Bloom","Sales Representative","Sales","2016-03-23T00:00:00Z",10000,9
"Tayler Fox","Sales Representative","Sales","2016-01-24T00:00:00Z",9600,9
"William Smith","Sales Representative","Sales","2017-02-23T00:00:00Z",7400,8
"Elizabeth Bates","Sales Representative","Sales","2017-03-24T00:00:00Z",7300,8
"Sundita Kumar","Sales Representative","Sales","2018-04-21T00:00:00Z",6100,7
"Ellen Abel","Sales Representative","Sales","2014-05-11T00:00:00Z",11000,11
"Alyssa Hutton","Sales Representative","Sales","2015-03-19T00:00:00Z",8800,10
"Jonathon Taylor","Sales Representative","Sales","2016-03-24T00:00:00Z",8600,9
"Jack Livingston","Sales Representative","Sales","2016-04-23T00:00:00Z",8400,9
"Nanette Cambrault","Sales Representative","Sales","2016-12-09T00:00:00Z",7500,8
"Christopher Olsen","Sales Representative","Sales","2016-03-30T00:00:00Z",8000,9
"Peter Hall","Sales Representative","Sales","2015-08-20T00:00:00Z",9000,10
"David Bernstein","Sales Representative","Sales","2015-03-24T00:00:00Z",9500,10
"Sean Tucker","Sales Representative","Sales","2015-01-30T00:00:00Z",10000,10
"Clara Vishney","Sales Representative","Sales","2015-11-11T00:00:00Z",10500,10
"Nandita Sarchand","Shipping Clerk","Shipping","2014-01-27T00:00:00Z",4200,11
"Alexis Bull","Shipping Clerk","Shipping","2015-02-20T00:00:00Z",4100,10
"Julia Dellinger","Shipping Clerk","Shipping","2016-06-24T00:00:00Z",3400,9
"Anthony Cabrio","Shipping Clerk","Shipping","2017-02-07T00:00:00Z",3000,8
"Kelly Chung","Shipping Clerk","Shipping","2015-06-14T00:00:00Z",3800,10
"Jennifer Dilly","Shipping Clerk","Shipping","2015-08-13T00:00:00Z",3600,10
"Timothy Venzl","Shipping Clerk","Shipping","2016-07-11T00:00:00Z",2900,9
"Randall Perkins","Shipping Clerk","Shipping","2017-12-19T00:00:00Z",2500,7
"Sarah Bell","Shipping Clerk","Shipping","2014-02-04T00:00:00Z",4000,11
"Britney Everett","Shipping Clerk","Shipping","2015-03-03T00:00:00Z",3900,10
"Samuel McLeod","Shipping Clerk","Shipping","2016-07-01T00:00:00Z",3200,9
"Vance Jones","Shipping Clerk","Shipping","2017-03-17T00:00:00Z",2800,8
"Alana Walsh","Shipping Clerk","Shipping","2016-04-24T00:00:00Z",3100,9
"Kevin Feeney","Shipping Clerk","Shipping","2016-05-23T00:00:00Z",3000,9
"Donald OConnell","Shipping Clerk","Shipping","2017-06-21T00:00:00Z",2600,8
"Douglas Grant","Shipping Clerk","Shipping","2018-01-13T00:00:00Z",2600,7
"Winston Taylor","Shipping Clerk","Shipping","2016-01-24T00:00:00Z",3200,9
"Jean Fleaur","Shipping Clerk","Shipping","2016-02-23T00:00:00Z",3100,9
"Martha Sullivan","Shipping Clerk","Shipping","2017-06-21T00:00:00Z",2500,8
"Girard Geoni","Shipping Clerk","Shipping","2018-02-03T00:00:00Z",2800,7
"TJ Olson","Stock Clerk","Shipping","2017-04-10T00:00:00Z",2100,8
"Randall Matos","Stock Clerk","Shipping","2016-03-15T00:00:00Z",2600,9
"Curtis Davies","Stock Clerk","Shipping","2015-01-29T00:00:00Z",3100,10
"Trenna Rajs","Stock Clerk","Shipping","2013-10-17T00:00:00Z",3500,12
"Joshua Patel","Stock Clerk","Shipping","2016-04-06T00:00:00Z",2500,9
"Julia Nayer","Stock Clerk","Shipping","2015-07-16T00:00:00Z",3200,10
"Irene Mikkilineni","Stock Clerk","Shipping","2016-09-28T00:00:00Z",2700,9
"James Landry","Stock Clerk","Shipping","2017-01-14T00:00:00Z",2400,8
"Steven Markle","Stock Clerk","Shipping","2018-03-08T00:00:00Z",2200,7
"Laura Bissot","Stock Clerk","Shipping","2015-08-20T00:00:00Z",3300,10
"Mozhe Atkinson","Stock Clerk","Shipping","2015-10-30T00:00:00Z",2800,10
"James Marlow","Stock Clerk","Shipping","2015-02-16T00:00:00Z",2500,10
"Peter Vargas","Stock Clerk","Shipping","2016-07-09T00:00:00Z",2500,9
"Jason Mallin","Stock Clerk","Shipping","2014-06-14T00:00:00Z",3300,11
"Michael Rogers","Stock Clerk","Shipping","2016-08-26T00:00:00Z",2900,9
"Ki Gee","Stock Clerk","Shipping","2017-12-12T00:00:00Z",2400,7
"Hazel Philtanker","Stock Clerk","Shipping","2018-02-06T00:00:00Z",2200,7
"Renske Ladwig","Stock Clerk","Shipping","2013-07-14T00:00:00Z",3600,12
"Stephen Stiles","Stock Clerk","Shipping","2015-10-26T00:00:00Z",3200,10
"John Seo","Stock Clerk","Shipping","2016-02-12T00:00:00Z",2700,9
"Kevin Mourgos","Stock Manager","Shipping","2017-11-16T00:00:00Z",5800,7
"Shanta Vollman","Stock Manager","Shipping","2015-10-10T00:00:00Z",6500,10
"Payam Kaufling","Stock Manager","Shipping","2013-05-01T00:00:00Z",7900,12
"Adam Fripp","Stock Manager","Shipping","2015-04-10T00:00:00Z",8200,10
"Matthew Weiss","Stock Manager","Shipping","2014-07-18T00:00:00Z",8000,11
